                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    129,                0.55009,                0.52935,                0.85216,                0.99124,                0.85714,                0.90924,                0.76917,                0.64656,                0.69951,                 1.0246,              0.0011618,              0.0011618,              0.0011618
                    130,                0.53678,                  0.556,                0.87695,                      1,                0.80474,                0.89635,                0.78568,                0.62433,                0.72753,                 1.0205,              0.0011552,              0.0011552,              0.0011552
                    131,                0.52789,                0.50898,                0.88373,                0.93427,                0.80952,                0.89047,                 0.7433,                 0.6527,                0.75235,                 1.0107,              0.0011486,              0.0011486,              0.0011486
                    132,                0.57308,                0.58288,                0.89684,                      1,                0.80211,                0.90414,                0.73534,                0.64983,                  0.783,                0.99063,               0.001142,               0.001142,               0.001142
                    133,                0.56469,                0.57342,                0.92376,                      1,                0.80211,                0.90414,                0.73534,                0.64983,                  0.783,                0.99063,              0.0011354,              0.0011354,              0.0011354
                    134,                0.52761,                 0.5156,                0.85666,                      1,                0.80272,                0.91778,                0.72652,                 0.6617,                0.77316,                0.98608,              0.0011288,              0.0011288,              0.0011288
                    135,                0.49592,                0.47927,                0.85973,                      1,                0.83034,                0.90465,                0.75243,                 0.6803,                 0.8051,                0.99873,              0.0011222,              0.0011222,              0.0011222
                    136,                0.57794,                0.51623,                0.88496,                      1,                 0.8491,                0.90307,                0.75766,                0.64241,                0.74853,                0.99461,              0.0011156,              0.0011156,              0.0011156
                    137,                0.51525,                0.52102,                0.87829,                      1,                 0.8491,                0.90307,                0.75766,                0.64241,                0.74853,                0.99461,               0.001109,               0.001109,               0.001109
                    138,                0.61655,                0.54393,                0.87941,                      1,                0.85124,                0.89408,                0.75029,                0.66307,                0.79938,                 1.0084,              0.0011024,              0.0011024,              0.0011024
                    139,                0.54482,                0.53988,                0.88756,                0.98459,                0.85714,                0.88653,                0.75138,                0.66303,                 0.8441,                 1.0322,              0.0010958,              0.0010958,              0.0010958
                    140,                0.53752,                0.50421,                 0.8652,                      1,                0.80539,                0.88049,                0.77853,                0.64756,                0.83478,                 1.0325,              0.0010892,              0.0010892,              0.0010892
